Source,Target,Weight,Type
Getafe,SD Huesca,3,Directed
Getafe,Villarreal CF,3,Directed
Gil Vicente FC,Coritiba FC,3,Directed
Gil Vicente FC,SC Covilhã,3,Directed
Gil Vicente FC,Tokyo Verdy,3,Directed
Giresunspor,Galatasaray,3,Directed
Granada CF,Real Madrid,3,Directed
Granada CF,Sevilla FC,3,Directed
Göztepe,Basaksehir,3,Directed
Huddersfield Town,MK Dons,3,Directed
Inter Milan,AS Roma,3,Directed
Inter Milan,Cagliari,3,Directed
Inter Milan,Parma Calcio,3,Directed
Inter Milan,SS Lazio,3,Directed
Inter Milan,US Sassuolo,3,Directed
Ionikos Nikeas,Panetolikos,3,Directed
Ionikos Nikeas,Volos FC,3,Directed
Istanbulspor,Gaziantep FK,3,Directed
Juventus,AC Fiorentina,3,Directed
Juventus,Genoa,3,Directed
Kasimpasa,Ankaraspor,3,Directed
Kasimpasa,Gaziantep FK,3,Directed
Kayserispor,Basaksehir,3,Directed
Kayserispor,Denizlispor,3,Directed
Kayserispor,Galatasaray,3,Directed
Kayserispor,MKE Ankaragücü,3,Directed
Khimki,Chertanovo,3,Directed
Khimki,Lokomotiv Moscow,3,Directed
Khimki,Rubin Kazan,3,Directed
Konyaspor,Galatasaray,3,Directed
Konyaspor,Genclerbirligi,3,Directed
Krasnodar,Botev Plovdiv,3,Directed
Krasnodar,Rostov,3,Directed
Krylya Sovetov Samara,Dynamo Moscow,3,Directed
Krylya Sovetov Samara,Rubin Kazan,3,Directed
Leeds United,RB Salzburg,3,Directed
Levante UD,Real Madrid,3,Directed
Lokomotiv Moscow,Krylya Sovetov Samara,3,Directed
Luton Town,Barnsley,3,Directed
Luton Town,Sheffield United,3,Directed
MKE Ankaragücü,FK Sarajevo,3,Directed
MKE Ankaragücü,Gaziantep FK,3,Directed
MKE Ankaragücü,Giresunspor,3,Directed
Malatyaspor,Sparta Prague,3,Directed
Manchester United,Ajax,3,Directed
Middlesbrough FC,Fulham FC,3,Directed
Millwall FC,Stoke City,3,Directed
Moreirense FC,Mirassol-SP,3,Directed
Newcastle United,Burnley,3,Directed
Nizhniy Novgorod,Khimki,3,Directed
Norwich,PAOK,3,Directed
Nottingham Forest,Huddersfield Town,3,Directed
Nottingham Forest,Newcastle United,3,Directed
Nottingham Forest,SL Benfica,3,Directed
Nottingham Forest,Wolverhampton Wanderers,3,Directed
OFI Crete FC,APOEL Nicosia,3,Directed
OFI Crete FC,Asteras Tripoli,3,Directed
OGC Nice,FC Barcelona,3,Directed
OGC Nice,Olympique Lyon,3,Directed
OGC Nice,Paris Saint-Germain,3,Directed
OGC Nice,RC Abidjan,3,Directed
Olympiacos,Flamengo,3,Directed
Olympiacos,Panionios,3,Directed
